contrato;odi;uf;municipio
ECO 011/2018;136PROJ0032;AP;PORTO GRANDE
ECO 011/2018;136PROJ030;AP;PORTO GRANDE
ECO 011/2018;136PROJ031;AP;PORTO GRANDE
ECO 011/2018;136PROJ033;AP;PORTO GRANDE
ECO 011/2018;136PROJ034;AP;PORTO GRANDE
ECO 011/2018;136PROJ035;AP;AMAPA
ECO 011/2018;136PROJ036;AP;PRACUUBA
ECO 011/2018;ODR136PROJ001;AP;TARTARUGALZINHO
ECO 011/2018;ODR136PROJ002;AP;TARTARUGALZINHO
ECO 011/2018;ODR136PROJ003;AP;TARTARUGALZINHO
ECO 011/2018;ODR136PROJ004;AP;TARTARUGALZINHO
ECO 011/2018;ODR136PROJ004A;AP;TARTARUGALZINHO
ECO 011/2018;ODR136PROJ005;AP;SERRA DO NAVIO
ECO 011/2018;ODR136PROJ006;AP;SANTANA
ECO 011/2018;ODR136PROJ007;AP;FERREIRA GOMES
ECO 011/2018;ODR136PROJ007A;AP;FERREIRA GOMES
ECO 011/2018;ODR136PROJ008;AP;PEDRA BRANCA DO AMAPARI
ECO 011/2018;ODR136PROJ009;AP;FERREIRA GOMES
ECO 011/2018;ODR136PROJ010A;AP;SERRA DO NAVIO
ECO 011/2018;ODR136PROJ010B;AP;PEDRA BRANCA DO AMAPARI
ECO 011/2018;ODR136PROJ011;AP;SANTANA
ECO 011/2018;ODR136PROJ012A;AP;TARTARUGALZINHO
ECO 011/2018;ODR136PROJ012B;AP;TARTARUGALZINHO
ECO 011/2018;ODR136PROJ013A;AP;TARTARUGALZINHO
ECO 011/2018;ODR136PROJ013B;AP;TARTARUGALZINHO
ECO 011/2018;ODR136PROJ014A;AP;SANTANA
ECO 011/2018;ODR136PROJ014B;AP;SANTANA
ECO 011/2018;ODR136PROJ014C;AP;SANTANA
ECO 011/2018;ODR136PROJ015;AP;SANTANA
ECO 011/2018;ODR136PROJ015A;AP;SANTANA
ECO 011/2018;ODR136PROJ016;AP;SANTANA
ECO 011/2018;ODR136PROJ017;AP;SANTANA
ECO 011/2018;ODR136PROJ018;AP;SANTANA
ECO 011/2018;ODR136PROJ019A;AP;TARTARUGALZINHO
ECO 011/2018;ODR136PROJ019B;AP;TARTARUGALZINHO
ECO 011/2018;ODR136PROJ020A;AP;FERREIRA GOMES
ECO 011/2018;ODR136PROJ021A;AP;FERREIRA GOMES
ECO 011/2018;ODR136PROJ022;AP;FERREIRA GOMES
ECO 011/2018;ODR136PROJ023;AP;PORTO GRANDE
ECO 011/2018;ODR136PROJ024;AP;MACAPA
ECO 011/2018;ODR136PROJ025;AP;TARTARUGALZINHO
ECO 011/2018;ODR136PROJ026;AP;PEDRA BRANCA DO AMAPARI
ECO 011/2018;ODR136PROJ027;AP;MAZAGAO
ECO 011/2018;ODR136PROJ029;AP;MACAPA
ECO 011/2018;ODR142PROJ001;AP;PRACUUBA
ECO 011/2018;ODR142PROJ002;AP;TARTARUGALZINHO
ECO 011/2018;ODR142PROJ003;AP;MAZAGAO
