contrato;odi;uc;uf;municipio
ECO 011/2018;ODR142PROJ001;2959348;Amapá;Pracuúba
ECO 011/2018;ODR142PROJ001;2959550;Amapá;Pracuúba
ECO 011/2018;ODR142PROJ001;2959739;Amapá;Pracuúba
ECO 011/2018;ODR142PROJ001;2959747;Amapá;Pracuúba
ECO 011/2018;ODR142PROJ001;2959763;Amapá;Pracuúba
ECO 011/2018;ODR142PROJ001;2959780;Amapá;Pracuúba
ECO 011/2018;ODR142PROJ001;2959801;Amapá;Pracuúba
ECO 011/2018;ODR142PROJ001;2959941;Amapá;Pracuúba
ECO 011/2018;ODR142PROJ001;2959950;Amapá;Pracuúba
ECO 011/2018;ODR142PROJ001;2959984;Amapá;Pracuúba
ECO 011/2018;ODR142PROJ001;2960001;Amapá;Pracuúba
ECO 011/2018;ODR142PROJ001;2960010;Amapá;Pracuúba
ECO 011/2018;ODR142PROJ001;2960044;Amapá;Pracuúba
ECO 011/2018;ODR142PROJ001;2960087;Amapá;Pracuúba
ECO 011/2018;ODR142PROJ001;2960109;Amapá;Pracuúba
ECO 011/2018;ODR142PROJ001;2960133;Amapá;Pracuúba
ECO 011/2018;ODR142PROJ001;2960150;Amapá;Pracuúba
ECO 011/2018;ODR142PROJ001;2960176;Amapá;Pracuúba
ECO 011/2018;ODR142PROJ001;2960192;Amapá;Pracuúba
ECO 011/2018;ODR142PROJ001;2960214;Amapá;Pracuúba
ECO 011/2018;ODR142PROJ001;2960230;Amapá;Pracuúba
ECO 011/2018;ODR142PROJ001;2960265;Amapá;Pracuúba
ECO 011/2018;ODR142PROJ001;2960281;Amapá;Pracuúba
ECO 011/2018;ODR142PROJ001;2960303;Amapá;Pracuúba
ECO 011/2018;ODR142PROJ001;2960320;Amapá;Pracuúba
ECO 011/2018;ODR142PROJ001;2960354;Amapá;Pracuúba
ECO 011/2018;ODR142PROJ001;2960370;Amapá;Pracuúba
ECO 011/2018;ODR142PROJ001;2960389;Amapá;Pracuúba
ECO 011/2018;ODR142PROJ001;2960397;Amapá;Pracuúba
ECO 011/2018;ODR142PROJ001;2960532;Amapá;Pracuúba
ECO 011/2018;ODR142PROJ001;2960540;Amapá;Pracuúba
ECO 011/2018;ODR142PROJ001;2960559;Amapá;Pracuúba
